scene_key,target_class,available_image_count,added_image_number,base_coalition_size,permutations_used,mean_prefix_target_ap50_95,mean_prefix_target_strict_quality_iou50,mean_prefix_noisy_or_best_iou,mean_marginal_target_ap50_95,mean_marginal_target_strict_quality_iou50,mean_marginal_noisy_or_best_iou
S0-SM_tree4,tree,8,3,2,256,0.9982096354196983,0.9639897745592858,0.988268928065357,0.01556490382208722,0.005642584974643594,0.004888732254300054
S0-SM_tree4,tree,8,4,3,256,1.0,0.9668735996268569,0.9901764601410341,0.0017903645803016852,0.002883825067571011,0.0019075320756771347
S0-SM_tree4,tree,8,5,4,256,1.0,0.969581937024744,0.991711857097182,0.0,0.0027083373978871728,0.0015353969561478892
S0-SM_tree4,tree,8,6,5,256,1.0,0.9716192092686979,0.9924964447738709,0.0,0.002037272243953947,0.0007845876766888978
S0-SM_tree4,tree,8,7,6,256,1.0,0.9736654702756793,0.9929733255189234,0.0,0.0020462610069812426,0.0004768807450524831
S0-SM_tree4,tree,8,8,7,256,1.0,0.9754917907554272,0.9933252334588114,0.0,0.0018263204797480115,0.0003519079398876133
S0-SM_tree5,tree,10,1,0,256,0.7205314988139284,0.8534439224282728,0.8534439224282728,0.7205314988139284,0.8534439224282728,0.8534439224282728
S0-SM_tree5,tree,10,2,1,256,0.83189358670581,0.9313808884458865,0.9612078947479397,0.11136208789188165,0.07793696601761368,0.10776397231966675
S0-SM_tree5,tree,10,3,2,256,0.8684719577713962,0.9371336843106124,0.9749644922101687,0.036578371065586236,0.00575279586472581,0.013756597462229066
S0-SM_tree5,tree,10,4,3,256,0.8880041225471944,0.9399646931663233,0.9780685182979869,0.01953216477579804,0.002831008855710901,0.0031040260878182767
S0-SM_tree5,tree,10,5,4,256,0.9025625179981361,0.9414323509739121,0.9794454910398607,0.01455839545094175,0.0014676578075888819,0.0013769727418736816
S0-SM_tree5,tree,10,6,5,256,0.9154412659551138,0.9425883225760358,0.9807280130207493,0.012878747956977781,0.0011559716021235927,0.0012825219808886771
S0-SM_tree5,tree,10,7,6,256,0.9240335686335294,0.9435601383419612,0.9815736636344343,0.008592302678415549,0.0009718157659254212,0.000845650613685031
S0-SM_tree5,tree,10,8,7,256,0.9296694190476564,0.9441152068301855,0.9822206401274685,0.005635850414127103,0.0005550684882242585,0.0006469764930341049
S0-SM_tree6,tree,9,1,0,256,0.8968817223020853,0.9177230692754248,0.9177230692754248,0.8968817223020853,0.9177230692754248,0.9177230692754248
S0-SM_tree6,tree,9,2,1,256,0.9457475007837346,0.9333164184423934,0.967104869092033,0.048865778481649275,0.015593349166968515,0.049381799816608146
S0-SM_tree6,tree,9,3,2,256,0.9685131338317535,0.9412482246344627,0.9753721411592167,0.02276563304801897,0.007931806192069332,0.008267272067183626
S0-SM_tree6,tree,9,4,3,256,0.9759521484375002,0.944497386263382,0.9778223650617613,0.0074390146057465925,0.0032491616289192504,0.002450223902544734
S0-SM_tree6,tree,9,5,4,256,0.9812255859375001,0.9463972812637624,0.9789315490256065,0.005273437499999997,0.0018998950003805137,0.001109183963845151
S0-SM_tree6,tree,9,6,5,256,0.9873779296875,0.9483555628067909,0.9798177694978869,0.0061523437499999955,0.001958281543028434,0.0008862204722804149
S0-SM_tree6,tree,9,7,6,256,0.9910644531250001,0.9495940170172048,0.9802138357085317,0.0036865234374999977,0.001238454210413839,0.0003960662106448805
S0-SM_tree6,tree,9,8,7,256,0.9957519531250001,0.9511849056879432,0.9804651560213302,0.004687499999999997,0.0015908886707384357,0.0002513203127984835
S0-SM_tree7,tree,15,1,0,256,0.8469696827475658,0.9307030368473642,0.9307030368473642,0.8469696827475658,0.9307030368473642,0.9307030368473642
S0-SM_tree7,tree,15,2,1,256,0.9379278533619255,0.9461581030729549,0.9771239399306877,0.09095817061435973,0.015455066225590633,0.04642090308332349
S0-SM_tree7,tree,15,3,2,256,0.9597191673988885,0.952439268560023,0.9832730846015183,0.02179131403696291,0.006281165487068113,0.006149144670830564
S0-SM_tree7,tree,15,4,3,256,0.9682717460626858,0.955365280247485,0.9853420421457302,0.008552578663797387,0.0029260116874620518,0.0020689575442118624
S0-SM_tree7,tree,15,5,4,256,0.9735800738965408,0.9579639231389041,0.9869398759546171,0.005308327833854992,0.0025986428914191034,0.001597833808886865
S0-SM_tree7,tree,15,6,5,256,0.9766461128031009,0.9600300128934948,0.988210250027247,0.0030660389065600992,0.002066089754590647,0.0012703740726299245
S0-SM_tree7,tree,15,7,6,256,0.9797628000799388,0.9621919314341478,0.9892885200170729,0.0031166872768378815,0.002161918540653021,0.0010782699898259336
S0-SM_tree7,tree,15,8,7,256,0.981927616139066,0.9640838817429969,0.9898527646420436,0.002164816059127229,0.0018919503088489914,0.0005642446249707286
S0-SM_tree8,tree,9,1,0,256,0.9061267730256284,0.9331613576232829,0.9331613576232829,0.9061267730256284,0.9331613576232829,0.9331613576232829
S0-SM_tree8,tree,9,2,1,256,0.9503697239652698,0.9466729056424363,0.9785776698466176,0.04424295093964141,0.013511548019153427,0.04541631222333464
S0-SM_tree8,tree,9,3,2,256,0.9685185198392405,0.9504567686095765,0.9828170929134221,0.018148795873970773,0.003783862967140103,0.0042394230668044985
S0-SM_tree8,tree,9,4,3,256,0.978134620932239,0.9538943738312947,0.985029873327089,0.00961610109299844,0.0034376052217182096,0.002212780413667028
S0-SM_tree8,tree,9,5,4,256,0.9843178954942462,0.9560352221356836,0.9861813507024219,0.006183274562007331,0.0021408483043889176,0.0011514773753327164
